Query ID	Predicted EC number
B0VRF9	EC:6.4.1.2
Q339X2	EC:3.2.1.21
Q0DIT2	EC:3.2.1.21
A9WBQ9	EC:6.4.1.2
Q2G8S9	EC:6.4.1.2
Q8EPD4	EC:6.4.1.2
C6E8M5	EC:1.6.5.11
Q3SWM0	EC:6.4.1.2
Q2QSR8	EC:3.2.1.21
A5G9A9	EC:1.6.5.11
B2U7Q1	EC:1.6.5.11
Q67P12	EC:1.6.5.11
Q28CN3	EC:3.4.19.12
Q1QS35	EC:6.4.1.2
B1W509	EC:1.6.5.11
Q7XSK1	EC:3.2.1.21
Q02CT4	EC:1.6.5.11
Q7XSK2	EC:3.2.1.21
Q11KL2	EC:6.4.1.2
A0AJ22	EC:6.4.1.2
Q0ATK2	EC:6.4.1.2
B7KSK6	EC:6.4.1.2
Q746T6	EC:1.6.5.11
C5ASN5	EC:6.4.1.2
Q94K73	EC:6.1.1.20
Q5REG5	EC:3.4.19.12
B9E7A6	EC:6.4.1.2
Q6MDQ6	EC:1.6.5.11
A3BMZ5	EC:3.2.1.21
Q6N5N4	EC:1.6.5.11
C1FNJ8	EC:6.4.1.2
B1H0E3	EC:6.4.1.2
Q0J0G2	EC:3.2.1.21
B3MQV3	EC:2.3.2.23
Q39QB7	EC:1.6.5.11
Q5R5Z6	EC:3.4.19.12
B4IF39	EC:2.3.2.23
B9M3Y9	EC:1.6.5.11
Q92QP2	EC:1.6.5.11
A8LKN7	EC:6.4.1.2
Q82DX1	EC:1.6.5.11
Q84YK7	EC:3.2.1.21
Q7EXZ4	EC:3.2.1.21
A3C053	EC:3.2.1.21
Q0J0N4	EC:3.2.1.21
B5EFF3	EC:1.6.5.11
B1WBD7	EC:3.4.19.12
Q830B4	EC:6.4.1.2
A5PN09	EC:3.4.19.12
Q8Y6V8	EC:6.4.1.2
B7F7K7	EC:3.2.1.21
A0JM59	EC:3.4.19.12
Q8C6M1	EC:3.4.19.12
B5DKM4	EC:2.3.2.23
Q2K9S2	EC:1.6.5.11
Q8R5K2	EC:3.4.19.12
Q6D2S6	EC:1.6.5.11
B8G381	EC:6.4.1.2
A1BI17	EC:6.4.1.2
A9HE81	EC:6.4.1.2
B4JKB7	EC:2.3.2.23
Q5FRN1	EC:6.4.1.2
A5UVF9	EC:1.6.5.11
Q9VX25	EC:2.3.2.23
A0LYC3	EC:6.4.1.2
B8DHH4	EC:6.4.1.2
Q0BK61	EC:1.6.5.11
B2K812	EC:1.6.5.11
Q142G3	EC:1.6.5.11
Q72HS7	EC:6.4.1.2
A5D014	EC:6.4.1.2
C1A8Y4	EC:1.6.5.11
A1JLI8	EC:1.6.5.11
A5FKJ7	EC:1.6.5.11
B2VIN4	EC:1.6.5.11
A4WCQ8	EC:1.6.5.11
Q2A1G0	EC:1.6.5.11
Q57AF3	EC:6.4.1.2
Q0RRV8	EC:1.6.5.11
Q0AVW0	EC:6.4.1.2
A9M9T9	EC:6.4.1.2
Q14K28	EC:1.6.5.11
Q7CRB7	EC:6.4.1.2
Q5WEF4	EC:6.4.1.2
Q5GXU2	EC:1.6.5.11
C0Z7W5	EC:6.4.1.2
Q87EP5	EC:1.6.5.11
C0SP93	EC:6.4.1.2
Q5LPT3	EC:1.6.5.11
B2GV87	EC:3.1.3.48
Q38XF6	EC:6.4.1.2
A7HY39	EC:1.6.5.11
C5D981	EC:1.6.5.11
B1ZRS3	EC:1.6.5.11
A4YJI4	EC:6.4.1.2
Q9PGI5	EC:1.6.5.11
B5EZK0	EC:1.6.5.11
Q0DA21	EC:3.2.1.21
B3E9V9	EC:1.6.5.11
Q1AVI9	EC:1.6.5.11
A6QNM7	EC:3.4.19.12
A5PMR2	EC:3.4.19.12
Q3ATW0	EC:6.4.1.2
B3PW09	EC:1.6.5.11
Q5Z9Z0	EC:3.2.1.21
A7IP97	EC:1.6.5.11
Q7XSK0	EC:3.2.1.21
Q1IS55	EC:1.6.5.11
Q2JFL0	EC:1.6.5.11
B1MX91	EC:6.4.1.2
Q03ZC9	EC:6.4.1.2
B3QL38	EC:6.4.1.2
B3EFW3	EC:6.4.1.2
C6XFZ0	EC:6.4.1.2
Q1WUR6	EC:6.4.1.2
Q92BE2	EC:6.4.1.2
C1KVM0	EC:6.4.1.2
Q6L597	EC:3.2.1.21
A5GD03	EC:1.6.5.11
B8ESN3	EC:6.4.1.2
A8LC91	EC:1.6.5.11
B0TWQ4	EC:1.6.5.11
B4MA02	EC:2.3.2.23
B4N208	EC:2.3.2.23
B8D1K3	EC:6.4.1.2
B4Q2J2	EC:2.3.2.23
B9FHH2	EC:3.2.1.21
B8IPW2	EC:6.4.1.2
Q60DY1	EC:3.2.1.21
B9LZM7	EC:1.6.5.11
B1ZLY6	EC:6.4.1.2
O67339	EC:1.6.5.11
Q39ZB0	EC:1.6.5.11
Q60DX8	EC:3.2.1.21
Q74G98	EC:1.6.5.11
B0UKV1	EC:6.4.1.2
C3Z724	EC:2.3.2.23
B1KU65	EC:6.4.1.2
B1LSQ7	EC:6.4.1.2
B1YKB3	EC:6.4.1.2
B3DWQ9	EC:6.4.1.2
